Resource,Group,Version,Commands
kustomizations,kustomize.toolkit.fluxcd.io,v1,ks kustomization kustomizations kustomizations.kustomize.toolkit.fluxcd.io kustomize.toolkit.fluxcd.io/v1/kustomizations
leases,coordination.k8s.io,v1,coordination.k8s.io/v1/leases lease leases leases.v1.coordination.k8s.io
limitranges,,v1,limitrange limitranges limits v1/limitranges
localsubjectaccessreviews,authorization.k8s.io,v1,authorization.k8s.io/v1/localsubjectaccessreviews localsubjectaccessreview localsubjectaccessreviews localsubjectaccessreviews.v1.authorization.k8s.io
mutatingwebhookconfigurations,admissionregistration.k8s.io,v1,admissionregistration.k8s.io/v1/mutatingwebhookconfigurations mutatingwebhookconfiguration mutatingwebhookconfigurations mutatingwebhookconfigurations.v1.admissionregistration.k8s.io
namespaces,,v1,namespace namespaces ns v1/namespaces
networkpolicies,networking.k8s.io,v1,netpol networking.k8s.io/v1/networkpolicies networkpolicies networkpolicies.v1.networking.k8s.io networkpolicy
networkpolicies,,,np
nodes,metrics.k8s.io,v1beta1,metrics.k8s.io/v1beta1/nodes nodes.v1beta1.metrics.k8s.io
nodes,,v1,no node nodes v1/nodes
ocirepositories,source.toolkit.fluxcd.io,v1,ocirepo ocirepositories ocirepositories.source.toolkit.fluxcd.io ocirepository source.toolkit.fluxcd.io/v1/ocirepositories
orders,acme.cert-manager.io,v1,acme.cert-manager.io/v1/orders order orders orders.acme.cert-manager.io
persistentvolumeclaims,,v1,persistentvolumeclaim persistentvolumeclaims pvc v1/persistentvolumeclaims
persistentvolumes,,v1,persistentvolume persistentvolumes pv v1/persistentvolumes
plans,upgrade.cattle.io,v1,plan plans plans.upgrade.cattle.io upgrade.cattle.io/v1/plans
poddisruptionbudgets,policy,v1,pdb poddisruptionbudget poddisruptionbudgets poddisruptionbudgets.v1.policy policy/v1/poddisruptionbudgets
podlogs,monitoring.grafana.com,v1alpha2,monitoring.grafana.com/v1alpha2/podlogs podlogs podlogs.monitoring.grafana.com
pods,metrics.k8s.io,v1beta1,metrics.k8s.io/v1beta1/pods pods.v1beta1.metrics.k8s.io
pods,,v1,po pod pods v1/pods
podtemplates,,v1,podtemplate podtemplates v1/podtemplates
portforwards,,,pf portforward portforwards
postgresqls,acid.zalan.do,v1,acid.zalan.do/v1/postgresqls pg postgresql postgresqls postgresqls.acid.zalan.do
priorityclasses,scheduling.k8s.io,v1,pc priorityclass priorityclasses priorityclasses.v1.scheduling.k8s.io scheduling.k8s.io/v1/priorityclasses
prioritylevelconfigurations,flowcontrol.apiserver.k8s.io,v1,flowcontrol.apiserver.k8s.io/v1/prioritylevelconfigurations prioritylevelconfiguration prioritylevelconfigurations prioritylevelconfigurations.v1.flowcontrol.apiserver.k8s.io
providers,notification.toolkit.fluxcd.io,v1beta3,notification.toolkit.fluxcd.io/v1beta3/providers provider providers providers.notification.toolkit.fluxcd.io
pulses,,,hz pu pulse pulses
quit,,,Q q q! qa quit
receivers,notification.toolkit.fluxcd.io,v1,notification.toolkit.fluxcd.io/v1/receivers receiver receivers receivers.notification.toolkit.fluxcd.io
referencegrants,gateway.networking.k8s.io,v1beta1,gateway.networking.k8s.io/v1beta1/referencegrants referencegrant referencegrants referencegrants.v1beta1.gateway.networking.k8s.io refgrant
replicasets,apps,v1,apps/v1/replicasets replicaset replicasets replicasets.v1.apps rs
replicationcontrollers,,v1,rc replicationcontroller replicationcontrollers v1/replicationcontrollers
resourcequotas,,v1,quota resourcequota resourcequotas v1/resourcequotas
rolebindings,rbac.authorization.k8s.io,v1,rbac.authorization.k8s.io/v1/rolebindings rolebinding rolebindings rolebindings.v1.rbac.authorization.k8s.io
rolebindings,,,rb
roles,rbac.authorization.k8s.io,v1,rbac.authorization.k8s.io/v1/roles role roles roles.v1.rbac.authorization.k8s.io
roles,,,ro
runtimeclasses,node.k8s.io,v1,node.k8s.io/v1/runtimeclasses runtimeclass runtimeclasses runtimeclasses.v1.node.k8s.io
screendumps,,,screendump screendumps sd
sealedsecrets,bitnami.com,v1alpha1,bitnami.com/v1alpha1/sealedsecrets sealedsecret sealedsecrets sealedsecrets.bitnami.com
secrets,,v1,secret secrets v1/secretsΔ
selfsubjectaccessreviews,authorization.k8s.io,v1,authorization.k8s.io/v1/selfsubjectaccessreviews selfsubjectaccessreview selfsubjectaccessreviews selfsubjectaccessreviews.v1.authorization.k8s.io
selfsubjectreviews,authentication.k8s.io,v1,authentication.k8s.io/v1/selfsubjectreviews selfsubjectreview selfsubjectreviews selfsubjectreviews.v1.authentication.k8s.io
selfsubjectrulesreviews,authorization.k8s.io,v1,authorization.k8s.io/v1/selfsubjectrulesreviews selfsubjectrulesreview selfsubjectrulesreviews selfsubjectrulesreviews.v1.authorization.k8s.io
serviceaccounts,,v1,sa serviceaccount serviceaccounts v1/serviceaccounts
services,,v1,service services svc v1/services
statefulsets,apps,v1,apps/v1/statefulsets statefulset statefulsets statefulsets.v1.apps sts
storageclasses,storage.k8s.io,v1,sc storage.k8s.io/v1/storageclasses storageclass storageclasses storageclasses.v1.storage.k8s.io
subjectaccessreviews,authorization.k8s.io,v1,authorization.k8s.io/v1/subjectaccessreviews subjectaccessreview subjectaccessreviews subjectaccessreviews.v1.authorization.k8s.io
tokenreviews,authentication.k8s.io,v1,authentication.k8s.io/v1/tokenreviews tokenreview tokenreviews tokenreviews.v1.authentication.k8s.io
users,,,user users usr
validatingadmissionpolicies,admissionregistration.k8s.io,v1,admissionregistration.k8s.io/v1/validatingadmissionpolicies validatingadmissionpolicies validatingadmissionpolicies.v1.admissionregistration.k8s.io validatingadmissionpolicy
validatingadmissionpolicybindings,admissionregistration.k8s.io,v1,admissionregistration.k8s.io/v1/validatingadmissionpolicybindings validatingadmissionpolicybinding validatingadmissionpolicybindings validatingadmissionpolicybindings.v1.admissionregistration.k8s.io
validatingwebhookconfigurations,admissionregistration.k8s.io,v1,admissionregistration.k8s.io/v1/validatingwebhookconfigurations validatingwebhookconfiguration validatingwebhookconfigurations validatingwebhookconfigurations.v1.admissionregistration.k8s.io
volumeattachments,storage.k8s.io,v1,storage.k8s.io/v1/volumeattachments volumeattachment volumeattachments volumeattachments.v1.storage.k8s.io
workloads,,,wk workload workloads
xrays,,,x xray xrays
